location,n,longitude,latitude
1439 N. Utanfor St,1,24.879208,36.058383
436 Zefirou Ave,1,24.906365,36.059021
500 Block of N. Schaber Ave,1,24.901165,36.054021
ALL UNITS,1,,
Egeou Ave / Ipsilantou Ave,1,24.897465,36.050921
Egeou Ave / Limnou St,1,24.856464,36.05022
Egeou Ave / Nia Ave,1,24.865964,36.05012
Egeou Ave / Polvo St,1,24.871409,36.05015
Egeou St / Parla St,1,24.855264,36.05022
Makedonias St / S. Palmant St,1,24.888565,36.045421
N. Achilleos St / N. Madeg St,6,24.894765,36.059421
N. Agentes St / N. Parla St,1,24.855064,36.05562
N. Alexandrias St / N. Ithakis St,6,24.857965,36.05942
N. Antoniadou St / N. Estos St,1,24.873164,36.06362
N. Arkadou St / N. Sirrakou St,1,24.896765,36.066621
N. Dentro St / N. Omirou St,1,24.858964,36.08652
N. Els St / N. Polvo St,1,24.871374,36.051901
N. Gounaraki St / N. Bairn Stt,1,24.884064,36.07202
N. Hacia St / N. Brada St,1,24.861664,36.07932
N. Ithakis St / N. Dentro St,1,24.857563,36.08662
N. Limnou St / N. Achilleos St,1,24.856464,36.05472
N. Limnou St / N. Alexandrias St,1,24.856464,36.05942
N. Oddisseos St / N. Antoniadou St,1,24.86857,36.063929
N. Pilau St / N. Achilleos St,1,24.844264,36.05472
N. Pilau St / N. Carnero St,1,24.844363,36.08182
N. Scarkeme St / N. Bilar St,1,24.849663,36.07612
Profitou Ilia St / Egeou Ave,1,24.878065,36.05012
S. Limnou St / S. Eleftherias St,1,24.856464,36.04932
S. Mikonou St / S. Achilleos St,2,24.870065,36.04572
